No,Provinsi,2022,2023,2024
1,ACEH,6954578,8943786,12924997
2,SUMATERA UTARA,23204456,27613125,42766198
3,SUMATERA BARAT,12339263,14692245,19142418
4,RIAU,8404236,11147053,17992224
5,JAMBI,3780983,4783187,8534569
6,SUMATERA SELATAN,8492364,10994493,18143118
7,BENGKULU,2113649,2957142,4571903
8,LAMPUNG,10925704,13760697,17875613
9,KEP. BANGKA BELITUNG,1578407,2382969,3144851
10,KEP. RIAU,1511354,2295496,3491947
11,DKI JAKARTA,56008041,63622596,87233238
12,JAWA BARAT,123531743,156224371,167396804
13,JAWA TENGAH,110345715,115570236,146842040
14,DI YOGYAKARTA,25743590,30437069,38030739
15,JAWA TIMUR,200548137,207104573,218711818
16,BANTEN,38597642,44399501,48257848
17,BALI,14259714,20833503,22644939
18,NUSA TENGGARA BARAT,4091259,12922404,13769746
19,NUSA TENGGARA TIMUR,3849353,5064324,7983247
20,KALIMANTAN BARAT,3279863,4711038,8165686
21,KALIMANTAN TENGAH,2683604,4023322,6499070
22,KALIMANTAN SELATAN,5310737,7869846,11668618
23,KALIMANTAN TIMUR,5431717,7903336,12205958
24,KALIMANTAN UTARA,354580,588871,962342
25,SULAWESI UTARA,4421855,5398846,8202302
26,SULAWESI TENGAH,6453017,6289067,9329221
27,SULAWESI SELATAN,28599212,25426960,36518290
28,SULAWESI TENGGARA,12783046,11069947,12946373
29,GORONTALO,1478813,1905921,3437439
30,SULAWESI BARAT,4234501,3510961,4008524
31,MALUKU,612567,1061844,1856446
32,MALUKU UTARA,1511241,1808020,2219681
33,PAPUA BARAT,469876,762438,419157
34,PAPUA,959876,1588351,1269706